journal_name	impact_factor
Nature Reviews Molecular Cell Biology	90.86
Nature	69.504
Nature Biotechnology	68.164
Cell	66.85
Nature Reviews Genetics	65.993
Science	63.714
Nature Reviews Microbiology	53
Nature Genetics	41.307
Annual Review of Biochemistry	24.963
Trends in Plant Science	22.277
Annual Review of Plant Biology	19.826
Trends in Ecology & Evolution	19.576
Nature Plants	18.305
Genome Biology	17.906
Trends in Genetics	17.906
Molecular Biology and Evolution	17.9
Nature Ecology & Evolution	16.91
Nature Communications	16.635
Molecular Plant	15.402
Science Advances	14.957
Genome Research	13.214
Proceedings of the National Academy of Sciences of the United States of America	12.779
Annual Review of Genetics	12.727
The Plant Cell	12.085
ISME Journal	11.862
Annual Review of Ecology Evolution and Systematics	11.682
Current Biology	10.852
New Phytologist	10.323
Cell Reports	9.995
Plant Biotechnology Journal	8.154
Plant Physiology	8.005
Molecular Plant Pathology	7.643
PNAS Nexus	7.1
Plant Journal	7.014
Molecular Ecology	7
Communications Biology	7
Advanced Science	15.6
